Team Name,State,Product Type
Florida,FL,"Full Search, Update, Date Down, Amend Title, Screening, M&B"
California,CA,"Full Search, Update, Date Down, Amend Title"
GI Clearing,"AZ, CA, TX",GI Clearing
Washington,WA,"Full Search, Update, Date Down, Amend Title"
Michigan,MI,"Full Search, Update, Date Down, Amend Title"
Colorado,CO,"Full Search, Update, Date Down, Amend Title"
Utah,UT,"Full Search, Update, Date Down, Amend Title"
Oregon,OR,"Full Search, Update, Date Down, Amend Title"
Regional Streamline,"WA,CA,FL,UT,NV,TX,IL,CO,AZ,HI,IN,MI,PA,GA,MO,OH,OR,SD,ME,KY,NE,OK,KS,WV,CT,NH,AL,SC,NC,DC,IA,VA,TN,MA,WI,ND,RI","RS Clear, RS Review, RS Search, RS No C2G"
National Streamline,"WA,CA,FL,UT,NV,TX,IL,CO,AZ,HI,IN,MI,PA,GA,MO,OH,OR,SD,ME,KY,NE,OK,KS,WV,CT,NH,AL,SC,NC,DC,IA,VA,TN,MA,WI,ND,RI","NS Clear, NS Review, NS Search, NS No C2G"
FIF,"NV, AZ, FL, TN, IN, CO, MI, MO, MS, MN, IL, PA, NM, MT, MD, GA-ATO, NC-ATO, ME, NH, NE, KY, NJ, DC, RI-ATO, SC-ATO, DE-ATO, MA-ATO, VT","FAST, Traditional"
SCB & PD,"WA,CA,FL,UT,NV,TX,IL,CO,AZ,HI,IN,MI,PA,GA,MO,OH,OR,SD,ME,KY,NE,OK,KS,WV,CT,NH,AL,SC,NC,DC,IA,VA,TN,MA,WI,ND,RI","Schedule B, Product Delivery"
Arizona,AZ,"Full Search, Update, Date Down, Amend Title"
Texas,TX,"Full Search, Update, Date Down, Amend Title"
Pennsylvania,PA,"Search and Exam, Vendor Search"
Ohio,OH,"Full Search, Vendor Exam, Screening, Update"
